relation_id,rule_id,platform,platform_product_line,account_type,content_type,platform_action,effective_status,source_id,access_date,notes
RP0001,R-A01-001,微信,微信朋友圈付费广告,企业号,广告,强警告,active,S0028,2026-07-27,
RP0002,R-A01-001,微信,微信朋友圈个人内容,个人号,朋友圈,强警告,active,S0028,2026-07-27,
RP0003,R-A01-001,小红书,小红书自然笔记,个人号,笔记,强警告,active,S0018,2026-07-27,
RP0004,R-A02-001,微信,微信公众号自然内容,企业号,文章,阻止,active,S0028,2026-07-27,
RP0005,R-A02-001,小红书,小红书自然笔记,个人号,笔记,阻止,active,S0018,2026-07-27,
RP0006,R-A02-001,抖音,抖音普通内容,个人号,短视频,阻止,active,S0022,2026-07-27,
RP0007,R-A09-001,微信,微信朋友圈付费广告,企业号,广告,阻止,active,S0028,2026-07-27,
RP0008,R-A09-001,抖音,抖音直播,企业号,直播口播,阻止,active,S0023,2026-07-27,
RP0009,R-A09-001,小红书,小红书自然笔记,个人号,笔记,阻止,active,S0018,2026-07-27,
RP0010,R-A14-001,小红书,小红书自然笔记,个人号,笔记,阻止,active,S0021,2026-07-27,平台医美内容全面限制
RP0011,R-A14-001,小红书,小红书电商及直播,商家号,直播,阻止,active,S0020,2026-07-27,
RP0012,R-A16-001,微信,微信公众号自然内容,企业号,文章,人工审核,active,S0028,2026-07-27,
RP0013,R-A16-001,抖音,抖音普通内容,个人号,短视频,人工审核,active,S0022,2026-07-27,
RP1001,R-A08-101,微信,微信朋友圈个人内容,个人号,朋友圈,人工审核,pending_review,S0028,2026-07-27,通用价格规则+平台内容场景
RP1002,R-A08-101,微信,微信社群/私信,客服号,社群/私信,人工审核,pending_review,S0010,2026-07-27,通用价格规则+平台内容场景
RP1003,R-A08-101,小红书,小红书自然笔记,个人号,笔记,人工审核,pending_review,S0018,2026-07-27,通用价格规则+平台内容场景
RP1004,R-A08-101,抖音,抖音普通内容,个人号,短视频/直播,人工审核,pending_review,S0022,2026-07-27,通用价格规则+平台内容场景
