change_id,version,change_type,object_type,object_id,previous_value,new_value,change_reason,related_source_id,changed_by,reviewed_by,change_date,effective_date
CHG0001,1.0,added,rule,R-A01-001,,初始创建,v1.0规则库初始化,,合规研究团队,,2026-07-27,2026-07-27
CHG0002,1.0,added,source,S0001,,14条正式来源录入,v1.0来源库初始化,,合规研究团队,,2026-07-27,2026-07-27
CHG0003,1.0,added,test_case,T0001,,20条测试样本录入,v1.0测试集初始化,,合规研究团队,,2026-07-27,2026-07-27
CHG0004,1.1,version_bump,library,v1.0,v1.0,v1.1-dev,升级为可供AI内容审核系统使用的合规知识资产包；结构冻结，不重编号,,agent,,2026-07-27,2026-07-27
CHG0005,1.1,structure_freeze,library,医美内容合规规则库_v1.1,,复制v1.0建立v1.1工作副本；v1.0原始目录未改动；JSON确定为唯一权威数据源；两份旧Excel归档至06_版本管理/历史版本；保留全部现有ID（rule_id/source_id/example_id/semantic_rule_id）不重编号,Step 3 结构冻结,,agent,,2026-07-27,2026-07-27
CHG0006,1.1,added,source,S0015,,新增14条来源（S0015-S0028）：个人信息保护法、民法典人格权编、医疗器械分类、小红书/抖音/微信平台规则,Step 4 补充正式来源库至28条（≥25）,,agent,,2026-07-27,2026-07-27
CHG0007,1.1,added,enforcement_case,C0001,,新增21条官方核验处罚案例（C0001-C0021），来源含市场监管总局、信用中国公示、各级市场监管局,Step 4 建立官方处罚案例库（≥20）,,agent,,2026-07-27,2026-07-27
CHG0008,1.1,updated,rule_platform,RP0001,,为13条 rule_platforms 记录回填有效 source_id（S0018-S0028）,Step 4 平台规则来源溯源,,agent,,2026-07-27,2026-07-27
CHG0009,1.1,added,case_lead,CL0004,,新增2条案例线索（CL0004-CL0005），为媒体转述待官方核验,Step 4 媒体案例仅作线索，不进入 enforcement_cases,,agent,,2026-07-27,2026-07-27
CHG0010,v1.1-dev,added,source_content,Step4.5-batch1,,sources S0015/S0016/S0017 写入 source_text(逐字相关条款)+captured_text_sha256+capture_method; enforcement_cases C0001 写入 case_detail+sha256,Step 4.5 来源与案例内容本地化：抓取官方逐字文本，使包离线自包含，URL 仅作溯源,"S0015,S0016,S0017",agent,pending,2026-07-27,2026-07-27
CHG0011,v1.1-dev,added,case_content,Step4.5-batch2+batch3,,enforcement_cases C0002/C0003/C0004/C0015/C0017/C0018/C0019/C0020/C0021 写入 case_detail+sha256；C0015 处罚决定书文号校正为德市监处罚〔2024〕F002号；C0016 标记 pending_manual_pdf(403),Step 4.5 案例内容本地化：抓取官方通报逐字原文，C0020/C0021 由媒体源升级为官方源,S0003,agent,pending,2026-07-27,2026-07-27
CHG0012,v1.1-dev,added,source_and_case_content,Step4.5-batch4,,"sources S0002(互联网广告管理办法核心条款)/S0003(医美广告执法指南全文,URL已更新为现行有效页)/S0007(广告绝对化用语执法指南全文,URL更新) 写入 source_text+sha256; enforcement_cases C0005-C0014 写入官方通报原文 case_detail,官方源URL由中国新闻网升级为 samr.gov.cn 官方页",Step 4.5 批次4：核心执法指南与2021医美十大案例官方原文本地化；S0003/S0007 原URL已404，更新为现行有效官方页面,"S0002,S0003,S0007",agent,pending,2026-07-27,2026-07-27
CHG-V1.2-COVERAGE,v1.2-dev,added,coverage_supplement,A08/A10/A14/A15/A16/SR/AC/VC,,"{""sources.json"":3,""rules.json"":56,""rule_variants.json"":448,""rule_sources.json"":115,""rule_platforms.json"":155,""rule_examples.json"":224,""semantic_rules.json"":25,""semantic_rule_sources.json"":25,""semantic_rule_examples.json"":75,""ad_classification_rules.json"":10,""test_cases.json"":120,""visual_manual_checks.json"":15}",补齐价格促销、客服、平台专项、隐私肖像、广告认定、视觉复核与语义检测覆盖,S0015;S0016;S0029;S0030;S0031,AI-assisted draft,,2026-07-27,
