relation_id,semantic_rule_id,source_id,article_clause,supporting_summary,confidence,review_status
SRS0001,SR0001,S0001,第16条第1项,禁止功效断言保证,,
SRS0002,SR0001,S0003,第五条,医美执法指南功效保证为重点打击,,
SRS0003,SR0002,S0001,第16条第1项,禁止安全性断言保证,,
SRS0004,SR0002,S0003,第五条,医美执法指南,,
SRS0005,SR0003,S0001,第9条第7项,良好风尚,,
SRS0006,SR0003,S0003,第五条,制造容貌焦虑为重点打击,,
SRS0007,SR0004,S0014,第四条(二),不得向无资质机构提供导购,,
SRS0008,SR0004,S0005,第16/17条,执业医师资质要求,,
SRS0009,SR0005,S0002,第9条,广告可识别性要求,,
SRS0010,SR0005,S0001,第9条,广告法一般规制,,
SRS1001,SR0101,S0003,,识别某某做完很好/大家都满意/案例证明等个案后接普遍性结论，区分纯流程评价。,中,待法务复核
SRS1002,SR0102,S0001,,识别任何人/所有人/不挑肤质/什么年龄都可以+项目适用性。,中,待法务复核
SRS1003,SR0103,S0003,,识别不做/再不/否则+老化、没人喜欢、被淘汰、失去竞争力等后果。,中,待法务复核
SRS1004,SR0104,S0006,,识别已认证/获批/进口+所以安全/效果更好/一定可靠的因果结构。,中,待法务复核
SRS1005,SR0105,S0013,,识别CCTV/权威媒体/大奖/协会推荐+证明有效、值得信赖等。,中,待法务复核
SRS1006,SR0106,S0013,,识别百分比、人数、排名与缺少出处/统计期/样本量的组合。,中,待法务复核
SRS1007,SR0107,S0011,,综合判断科普目的、商业要素和交易路径，不只看是否出现“科普”。,中,待法务复核
SRS1008,SR0108,S0011,,结合发布者关系、素材来源、频率、转化路径和利益关系判断。,中,待法务复核
SRS1009,SR0109,S0002,,识别利益关系和否认商业合作的组合。,中,待法务复核
SRS1010,SR0110,S0003,,识别生活美容主体与医疗用语、侵入性技术、诊疗效果的冲突。,中,待法务复核
SRS1011,SR0111,S0003,,识别医疗项目与生活化、安全化类比，判断是否降低消费者风险认知。,中,待法务复核
SRS1012,SR0112,S0014,,识别特殊人群+可以做/放心/绝对安全等。,中,待法务复核
SRS1013,SR0113,S0029,,比较主文案与小字、详情和实际条件，判断是否形成误导。,中,待法务复核
SRS1014,SR0114,S0029,,识别多次发布、自动重置倒计时和无法核实库存/名额。,中,待法务复核
SRS1015,SR0115,S0010,,识别融资宣传中只强调小额月供而不披露总成本和风险。,中,待法务复核
SRS1016,SR0116,S0010,,识别必须搭配/升级/加购与效果、治疗资格的绑定。,中,待法务复核
SRS1017,SR0117,S0015,,综合多种身份线索判断可识别性，不以打码作为唯一标准。,中,待法务复核
SRS1018,SR0118,S0015,,比较原授权目的、平台、期限与当前用途。,中,待法务复核
SRS1019,SR0119,S0015,,判断是否从个人表达转化为机构广告、患者证明或商业推荐。,中,待法务复核
SRS1020,SR0120,S0015,,识别AI工具使用、外部接收方、脱敏、同意和数据留存情况。,中,待法务复核
SRS1021,SR0121,S0014,,识别异常症状+肯定没事/忍忍/不用看医生等。,中,待法务复核
SRS1022,SR0122,S0014,,结合自称身份、执业资质和实际话术判断误导。,中,待法务复核
SRS1023,SR0123,S0011,,按账号和活动整体分析，不限于单条文本。,中,待法务复核
SRS1024,SR0124,S0022,,识别规范词与变体间的语义相似，并结合平台与商业目的。,中,待法务复核
SRS1025,SR0125,S0002,,对比核准样件与发布版本，识别新增主张和语义变化。,中,待法务复核
