variant_id,rule_id,variant_text,variant_type,matching_method,regex_pattern,case_sensitive,exact_match_required,language,confidence,review_status,notes
V000001,R-A01-001,国家级,keyword,exact,,false,true,zh-CN,高,已审核,
V000002,R-A01-001,最高级,keyword,exact,,false,true,zh-CN,高,已审核,
V000003,R-A01-001,最佳,keyword,exact,,false,true,zh-CN,高,已审核,
V000004,R-A01-001,最顶尖,synonym,contains,,false,false,zh-CN,高,已审核,
V000005,R-A01-001,史上最强,synonym,contains,,false,false,zh-CN,高,已审核,
V000006,R-A01-002,第一,keyword,contains,,false,false,zh-CN,高,已审核,需结合上下文判断是否指向医美服务
V000007,R-A01-002,全网第一,synonym,exact,,false,true,zh-CN,高,已审核,
V000008,R-A01-002,行业第一,synonym,exact,,false,true,zh-CN,高,已审核,
V000009,R-A01-002,NO.1,number_symbol_variant,contains,(?i)\bno\.?\s*1\b,false,false,multi,高,已审核,匹配NO.1/NO1/no.1/no1等变体
V000010,R-A01-002,TOP1,number_symbol_variant,contains,(?i)\btop\s*1\b,false,false,multi,高,已审核,
V000011,R-A02-001,保证有效,keyword,exact,,false,true,zh-CN,高,已审核,
V000012,R-A02-001,一次见效,keyword,exact,,false,true,zh-CN,高,已审核,
V000013,R-A02-001,彻底治愈,keyword,exact,,false,true,zh-CN,高,已审核,
V000014,R-A02-001,百分百有效,synonym,contains,,false,false,zh-CN,高,已审核,
V000015,R-A02-001,无效退款,sentence_pattern,exact,,false,true,zh-CN,高,已审核,
V000016,R-A02-002,永久有效,keyword,exact,,false,true,zh-CN,高,已审核,
V000017,R-A02-002,终身不反弹,keyword,exact,,false,true,zh-CN,高,已审核,
V000018,R-A02-002,一辈子保持,synonym,contains,,false,false,zh-CN,高,已审核,
V000019,R-A03-001,零风险,keyword,exact,,false,true,zh-CN,高,已审核,
V000020,R-A03-001,绝对安全,keyword,exact,,false,true,zh-CN,高,已审核,
V000021,R-A03-001,无副作用,keyword,exact,,false,true,zh-CN,高,已审核,
V000022,R-A03-001,完全无痛,keyword,exact,,false,true,zh-CN,高,已审核,
V000023,R-A03-002,无后遗症,keyword,exact,,false,true,zh-CN,高,已审核,
V000024,R-A03-002,不留疤,keyword,exact,,false,true,zh-CN,高,已审核,
V000025,R-A03-002,不反弹,keyword,exact,,false,true,zh-CN,高,已审核,
V000026,R-A04-001,三天恢复,keyword,exact,,false,true,zh-CN,高,已审核,
V000027,R-A04-001,七天变美,keyword,exact,,false,true,zh-CN,高,已审核,
V000028,R-A04-001,一周见效,keyword,exact,,false,true,zh-CN,高,已审核,
V000029,R-A05-001,术前术后对比,keyword,contains,,false,false,zh-CN,高,已审核,
V000030,R-A05-001,治疗前后效果,keyword,contains,,false,false,zh-CN,高,已审核,
V000031,R-A05-002a,亲测有效,keyword,exact,,false,true,zh-CN,高,已审核,
V000032,R-A05-002a,做完鼻子一个月变这样,sentence_pattern,fuzzy,,false,false,zh-CN,高,已审核,模糊匹配做完+项目+时间+效果变化句式
V000033,R-A06-001,全国最权威专家,keyword,exact,,false,true,zh-CN,高,已审核,
V000034,R-A06-001,医美第一刀,keyword,exact,,false,true,zh-CN,高,已审核,
V000035,R-A06-002,国际认证,keyword,exact,,false,true,zh-CN,高,已审核,需提供认证证明
V000036,R-A06-002,亚洲最大,keyword,exact,,false,true,zh-CN,高,已审核,
V000037,R-A07-001,销量第一,keyword,exact,,false,true,zh-CN,高,已审核,
V000038,R-A07-001,成功率99%,keyword,contains,成功率\d+%,false,false,zh-CN,高,已审核,
V000039,R-A07-001,万人选择,keyword,exact,,false,true,zh-CN,高,已审核,
V000040,R-A08-001,最低价,keyword,exact,,false,true,zh-CN,高,已审核,
V000041,R-A08-001,最后一天,keyword,exact,,false,true,zh-CN,高,已审核,
V000042,R-A08-001,错过不再,keyword,exact,,false,true,zh-CN,高,已审核,
V000043,R-A08-002,免费治疗,keyword,exact,,false,true,zh-CN,高,已审核,
V000044,R-A08-002,免费体验,keyword,exact,,false,true,zh-CN,高,已审核,
V000045,R-A09-001,丑女人,keyword,exact,,false,true,zh-CN,高,已审核,
V000046,R-A09-001,脸垮了,keyword,exact,,false,true,zh-CN,高,已审核,
V000047,R-A09-001,显老十岁,keyword,exact,,false,true,zh-CN,高,已审核,
V000048,R-A09-002,不做就老了,sentence_pattern,exact,,false,true,zh-CN,高,已审核,
V000049,R-A09-002,颜值决定人生,keyword,exact,,false,true,zh-CN,高,已审核,
V000050,R-A09-002,再不保养就没人喜欢了,sentence_pattern,fuzzy,,false,false,zh-CN,高,已审核,
V000051,R-A10-001,你这是激素脸,sentence_pattern,contains,,false,false,zh-CN,高,已审核,
V000052,R-A10-001,你适合做XX项目,sentence_pattern,fuzzy,"你适合做.{1,10}(项目|治疗|手术)",false,false,zh-CN,高,已审核,
V000053,R-A10-001,你这属于XX肤质,sentence_pattern,fuzzy,"你这属于.{1,10}(肤质|皮肤|问题)",false,false,zh-CN,高,已审核,
V000054,R-A11-001,超适应证使用,keyword,contains,,false,false,zh-CN,高,已审核,
V000055,R-A11-001,XX器械效果是传统方法的十倍,sentence_pattern,fuzzy,,false,false,zh-CN,高,已审核,
V000056,R-A12-001a,XX明星做了这个项目,sentence_pattern,fuzzy,,false,false,zh-CN,高,已审核,
V000057,R-A12-001a,推荐官,keyword,contains,,false,false,zh-CN,高,已审核,
V000058,R-A12-001b,XX明星同款风格,sentence_pattern,fuzzy,,false,false,zh-CN,中,已审核,需确认未暗示该明星使用了医美项目
V000059,R-A14-001,小红书医美笔记,euphemism,semantic,,false,false,zh-CN,中,已审核,
V000060,R-A16-001,科普文章嵌入预约链接,sentence_pattern,semantic,,false,false,zh-CN,中,已审核,
V000061,R-A01-003,效果超级好,sentence_pattern,contains,,false,false,zh-CN,高,已审核,
V000062,R-A01-003,逆天效果,keyword,exact,,false,true,zh-CN,高,已审核,
V000063,R-A01-003,效果绝了,sentence_pattern,contains,,false,false,zh-CN,高,已审核,
V000064,R-A01-003,效果惊人,keyword,exact,,false,true,zh-CN,高,已审核,
V000065,R-A01-004,行业标杆,keyword,exact,,false,true,zh-CN,高,已审核,
V000066,R-A01-004,行业领军品牌,keyword,exact,,false,true,zh-CN,高,已审核,
V000067,R-A01-004,行业佼佼者,keyword,exact,,false,true,zh-CN,高,已审核,
V000068,R-A01-005,任何人都适合,keyword,exact,,false,true,zh-CN,高,已审核,
V000069,R-A01-005,无一例外,keyword,exact,,false,true,zh-CN,高,已审核,
V000070,R-A01-005,所有人都适合,sentence_pattern,contains,,false,false,zh-CN,高,已审核,
V000071,R-A01-006,绝无仅有,keyword,exact,,false,true,zh-CN,高,已审核,
V000072,R-A01-006,无人能及,keyword,exact,,false,true,zh-CN,高,已审核,
V000073,R-A01-006,无可匹敌,keyword,exact,,false,true,zh-CN,高,已审核,
V000074,R-A01-007,永远年轻,keyword,exact,,false,true,zh-CN,高,已审核,
V000075,R-A01-007,一直美下去,keyword,exact,,false,true,zh-CN,高,已审核,
V000076,R-A01-007,永不过时,keyword,exact,,false,true,zh-CN,高,已审核,
V000077,R-A01-008,完美效果,keyword,exact,,false,true,zh-CN,高,已审核,
V000078,R-A01-008,毫无瑕疵,keyword,exact,,false,true,zh-CN,高,已审核,
V000079,R-A01-008,浑然天成,keyword,exact,,false,true,zh-CN,高,已审核,
V000080,R-A01-009,国际领先技术,keyword,exact,,false,true,zh-CN,高,已审核,
V000081,R-A01-009,黑科技,keyword,exact,,false,true,zh-CN,高,已审核,
V000082,R-A01-009,革命性突破,keyword,exact,,false,true,zh-CN,高,已审核,
V000083,R-A01-010,零差评,keyword,exact,,false,true,zh-CN,高,已审核,
V000084,R-A01-010,人人称赞,keyword,exact,,false,true,zh-CN,高,已审核,
V000085,R-A01-010,清一色好评,keyword,exact,,false,true,zh-CN,高,已审核,
V000086,R-A01-011,全国首家,keyword,exact,,false,true,zh-CN,高,已审核,
V000087,R-A01-011,独家技术,keyword,exact,,false,true,zh-CN,高,已审核,
V000088,R-A01-011,唯一授权,keyword,exact,,false,true,zh-CN,高,已审核,
V000089,R-A01-012,比任何方法都好,sentence_pattern,contains,,false,false,zh-CN,高,已审核,
V000090,R-A01-012,比所有方式都有效,sentence_pattern,contains,,false,false,zh-CN,高,已审核,
V000091,R-A02-003,缩小X毫米,sentence_pattern,fuzzy,缩小\d+(\.\d+)?(毫米|mm),false,false,zh-CN,高,已审核,
V000092,R-A02-003,提升X%,sentence_pattern,fuzzy,提升\d+(\.\d+)?%,false,false,zh-CN,高,已审核,
V000093,R-A02-003,消除X%皱纹,sentence_pattern,fuzzy,"消除\d+(\.\d+)?%.{0,5}(皱纹|斑点|痘痘)",false,false,zh-CN,高,已审核,
V000094,R-A02-004,效果是传统的N倍,sentence_pattern,fuzzy,"效果是.{0,5}\d+倍",false,false,zh-CN,高,已审核,
V000095,R-A02-004,远超传统方法,keyword,exact,,false,true,zh-CN,高,已审核,
V000096,R-A02-005,不管什么肤质都有用,sentence_pattern,contains,,false,false,zh-CN,高,已审核,
V000097,R-A02-005,对所有人都管用,keyword,exact,,false,true,zh-CN,高,已审核,
V000098,R-A02-006,做完一定美,keyword,exact,,false,true,zh-CN,高,已审核,
V000099,R-A02-006,肯定有效,keyword,exact,,false,true,zh-CN,高,已审核,
V000100,R-A02-007,彻底治愈,keyword,exact,,false,true,zh-CN,高,已审核,
V000101,R-A02-007,根治黑眼圈,keyword,exact,,false,true,zh-CN,高,已审核,
V000102,R-A02-007,除根,keyword,exact,,false,true,zh-CN,高,已审核,
V000103,R-A02-008,逆龄生长,keyword,exact,,false,true,zh-CN,高,已审核,
V000104,R-A02-008,重返十八岁,keyword,exact,,false,true,zh-CN,高,已审核,
V000105,R-A02-008,逆袭变美,keyword,exact,,false,true,zh-CN,高,已审核,
V000106,R-A02-009,不用开刀达到手术效果,sentence_pattern,contains,,false,false,zh-CN,高,已审核,
V000107,R-A02-009,不开刀媲美手术,keyword,exact,,false,true,zh-CN,高,已审核,
V000108,R-A02-010,宛如天生,keyword,exact,,false,true,zh-CN,高,已审核,
V000109,R-A02-010,妈生鼻,keyword,exact,,false,true,zh-CN,高,已审核,
V000110,R-A02-010,就像没做过一样,keyword,exact,,false,true,zh-CN,高,已审核,
