check_id,check_name,risk_level,check_description,system_action,related_rule_ids,manual_review_question
VC0001,术前术后对比图,critical,检查同一患者的术前术后、恢复过程、左右对比或拼图对比。,block,"[""R-A05-001"",""R-A15-102""]",素材是否通过视觉方式展示或暗示治疗效果对比？
VC0002,患者面部或身体可识别,critical,检查患者面部、纹身、身体特征、昵称等是否可识别，是否取得针对营销用途的单独同意。,mandatory_human_review,"[""R-A15-101"",""R-A15-105""]",是否有覆盖当前平台、期限和用途的单独授权？
VC0003,聊天和评价截图,high,检查头像、昵称、账号、病情、联系方式、价格和聊天内容是否充分脱敏。,mandatory_human_review,"[""R-A15-103"",""R-A15-109""]",截图能否通过多项线索重新识别个人？
VC0004,病例、检查报告和处方,critical,检查画面中是否出现病历、诊断、检查、处方、用药、过敏史等医疗健康信息。,block,"[""R-A15-104""]",是否完全删除身份与医疗健康敏感信息？
VC0005,价格和促销小字,high,检查主价格、原价、附加费用、活动期限、名额、退款和限制条件是否显著且一致。,request_evidence,"[""R-A08-101"",""R-A08-102"",""R-A08-103"",""R-A08-104""]",海报小字是否弱化了对消费者不利的条件？
VC0006,二维码、电话和站外导流,high,检查二维码、手机号、微信号、地址、评论暗号、水印和主页引导。,mandatory_human_review,"[""R-A14-103"",""R-A14-107"",""R-A16-104""]",当前平台和账号类型是否允许该转化路径？
VC0007,医生、患者、明星或第三方肖像,critical,检查人物身份、授权范围、代言关系以及医疗广告禁止使用的推荐证明主体。,mandatory_human_review,"[""R-A15-110"",""R-A12-001a""]",肖像授权真实有效且内容不构成禁止的医疗代言吗？
VC0008,资质证书和注册证截图,high,检查证书是否真实、完整、在有效期内，宣传范围是否与证书一致。,request_evidence,"[""R-A06-006"",""R-A11-001""]",证书编号、主体、有效期和适用范围是否可核验？
VC0009,广告审查证明和核准样件,critical,检查广告审查证明、核准样件与实际发布素材是否一致，是否存在二次剪辑。,block,"[""R-A16-106"",""AC0108""]",发布版本是否严格等同于审查通过内容？
VC0010,绝对化和功效文字嵌入图片,critical,检查海报、封面、字幕、贴纸中的最好、零风险、一次见效等文字。,block,"[""R-A01-001"",""R-A02-001"",""R-A03-001""]",图片内文字是否已纳入文本检测？
VC0011,效果模拟、AI生成或修图误导,high,检查AI生成、修图、滤镜、皮肤磨皮或模拟效果是否被当作真实治疗结果。,mandatory_human_review,"[""R-A05-001"",""R-A13-003""]",是否清晰标注模拟性质且不会被理解为真实疗效？
VC0012,未成年人形象或信息,critical,检查画面人物是否可能为未成年人，是否涉及医美营销、监护人同意和敏感信息。,block,"[""R-A15-108""]",是否已完成年龄核验和监护人同意，并符合最有利于未成年人的原则？
VC0013,器械、药品和注射材料外观,high,检查画面中的器械、药品、针剂、包装和注册信息是否与宣传内容一致。,request_qualification,"[""R-A11-001""]",实物、包装、注册证和项目用途是否一致？
VC0014,平台广告标识和商业合作标记,high,检查广告、赞助、商业合作、蒲公英或其他平台要求的标记是否显著。,mandatory_human_review,"[""R-A14-102"",""R-A16-108""]",是否按对应平台产品线显著披露商业关系？
VC0015,图片水印、账号名和机构关系,medium,检查水印、Logo、账号名称、医生人设和机构信息是否使内容形成机构广告或违反平台命名规则。,mandatory_human_review,"[""R-A14-104"",""R-A16-101""]",账号和水印是否改变内容主体与商业性质？
