classification_rule_id,rule_name,publisher_identity,publisher_qualification,commercial_intent,promotion_object,purchase_or_contact_path,content_context,expected_content_legal_nature,classification_reason,exclusion_condition,source_id,confidence,system_action,manual_review_required,review_status,version,updated_at
AC0001,医疗机构官网/认证自媒体发布机构信息(非广告例外),依法设立的医疗机构,医疗机构执业许可证,无,机构概况/医务人员信息/服务项目/价格,未附带跳转链接或商业推广,机构官网或认证自媒体平台,service_information,根据S0011第四条:医疗机构在本机构场所、门户网站或认证自媒体发布机构概况、医务人员、服务项目、价格等信息，无第六条规定情形的，不构成医疗广告,若存在S0011第六条情形(主观推介/效果保证/与其他机构比较)则认定为广告,S0011,高,pass,false,已审核,1.0,2026-07-27
AC0002,第三方平台表格化就医基本信息的非广告认定,第三方电商/信息平台,平台需对入驻机构核验资质,无直接,就医必知信息(机构名称/地址/电话/服务时间/医生出诊信息),以表格化展示，无推介性描述,第三方平台的机构展示页面,service_information,根据S0011第五条:第三方平台以表格化形式介绍就医必知信息且无第六条规定情形的，不构成医疗广告,若有主观推介/效果描述/排名展示/跳转购买链接则认定广告,S0011,高,pass,false,已审核,1.0,2026-07-27
AC0003,科普内容附加商业要素认定为医疗广告,任何主体,无特定要求,存在,医疗机构/医生/项目/产品,内容页嵌入预约/购买链接、联系方式或优惠信息,以科普、健康教育、知识分享为名义的内容,medical_advertisement,根据S0011第八条:符合科普要求但存在病例案例推介、页面附加跳转购买链接等行为的，认定为医疗广告。S0002第六条禁止以科普变相发布医疗广告。,纯公益科普且无任何商业要素的可认定为健康教育,S0011,高,mandatory_human_review,true,已审核,1.0,2026-07-27
AC0101,员工个人朋友圈的商业广告认定,医疗机构员工、咨询师、医生或合作人员,需核验与机构的劳动、合作或利益关系,根据统一素材、发布频率、项目价格、预约路径、考核或报酬综合判断,所在机构、医生、具体医美项目或药械,私信、微信号、电话、二维码、预约或到店指引,个人朋友圈、社群或个人短视频账号,uncertain,个人账号形式不排除商业广告属性；存在机构组织、利益关系和转化路径时风险显著升高。,真实个人表达，无机构关系、无对价、无转化路径且不含禁止性医疗广告内容。,S0011,中,mandatory_human_review,true,待法务复核,1.2,2026-07-27
AC0102,免费体验或置换内容的商业推荐认定,达人、素人、顾客、合作创作者,需核验平台合作报备与商业关系,接受免费服务、折扣、佣金、赠品、流量或其他利益,机构、项目、服务或医生,链接、预约、私信、评论暗号、门店位置,体验分享、探店、日记、测评,commercial_recommendation,利益关系会使内容具备商业推荐属性，不能仅以“个人体验”排除广告或患者证明风险。,无任何利益关系和机构安排，且内容不构成患者疗效证明或其他违法广告。,S0002,高,mandatory_human_review,true,待法务复核,1.2,2026-07-27
AC0103,机构转发用户内容后的广告认定,医疗机构、品牌或其运营账号,医疗机构相关资质,机构主动选择、编辑、加品牌或转化信息后发布,机构服务、项目、效果或口碑,机构主页、预约、电话、二维码或私信,官号转发、案例合集、口碑墙、二次剪辑,medical_advertisement,用户原始内容被机构用于商业推广后，发布主体、目的和传播方式发生变化。,仅为处理投诉、纠纷或客观回应且无商业推广，不公开敏感信息。,S0011,高,mandatory_human_review,true,待法务复核,1.2,2026-07-27
AC0104,科普同页附商业转化要素的广告认定,医疗机构、医生、第三方账号或达人,按主体与平台核验,科普内容同时出现机构、项目、价格、优惠或转化入口,医疗机构或具体医疗美容服务,二维码、电话、链接、预约按钮、私信,科普文章、知识短视频、答疑或直播,medical_advertisement,健康知识内容与商业转化要素同页或同时出现，可能构成变相医疗广告。,纯公益科普，无机构项目推介和交易路径。,S0011,高,mandatory_human_review,true,待法务复核,1.2,2026-07-27
AC0105,医生个人科普账号推广机构的广告认定,执业医师或以医生身份运营的账号,执业医师资格不等于可为医疗广告代言,持续推介所在机构、项目、预约和优惠,所在机构、医生本人或具体医美项目,预约本人、机构电话、二维码、私信,医生科普、病例讨论、个人观点,medical_advertisement,医务人员名义和形象被用于机构或项目推广，且可能构成医疗广告推荐证明。,一般医学科普，不推荐具体机构、项目或效果，无交易路径。,S0003,高,block,true,待法务复核,1.2,2026-07-27
AC0106,直播挂链与口播组合的广告认定,机构、医生、主播、达人或商家,需核验平台行业准入和法定资质,口播项目优势并挂载商品、团购、预约或咨询路径,具体医疗美容服务、药械或机构,小黄车、团购券、预约、二维码、私信,直播、连麦、实时答疑,platform_paid_advertisement,直播推销商品或服务并产生交易或预约路径，具备明确商业推广属性。,纯科普直播，无项目推介、交易路径和个体诊断。,S0002,高,mandatory_human_review,true,待法务复核,1.2,2026-07-27
AC0107,跨页面商业链路的整体广告认定,任何账号主体,按实际推广对象核验,单条内容中性，但主页、置顶、评论、私信或连续内容共同完成转化,机构、项目或服务,分散在主页、评论、私信自动回复或其他页面,多页面、多帖子、账号主页与评论组合,uncertain,广告性质应按完整传播和交易链路判断，不能只审查单一文本片段。,整体链路不存在商业推介、利益关系和交易路径。,S0011,中,mandatory_human_review,true,待法务复核,1.2,2026-07-27
