semantic_example_id,semantic_rule_id,example_type,example_text,explanation
SE0001,SR0001,positive,做完这个项目你的皮肤一定会变得像婴儿一样,明示保证治疗效果
SE0002,SR0001,positive,只要你按时来做，效果肯定越来越好,条件句+效果保证
SE0003,SR0001,negative,治疗效果因人而异，建议面诊后根据医师建议选择方案,含个体差异说明，无误导
SE0004,SR0002,positive,这个项目就像做面膜一样安全，完全不用担心,将医疗美容类比日常保养
SE0005,SR0002,negative,治疗前请了解可能的不良反应和注意事项,客观风险提示
SE0006,SR0003,positive,女人过了30不保养，老公迟早会跑的,容貌+人际关系焦虑双重制造
SE0007,SR0003,negative,定期皮肤维护是个人健康管理的一部分,客观健康建议，未制造焦虑
SE0008,SR0004,positive,你这个症状就是典型的激素依赖性皮炎,未经面诊的确诊式表述
SE0009,SR0004,negative,这些症状可能有多种原因，建议预约执业医师面诊评估,建议面诊，未下结论
SE0010,SR0005,positive,想变美就来找我做shou脸针,拼音规避瘦脸针
SE0011,SR0005,negative,瘦脸针属于医疗美容项目中需在正规医疗机构由执业医师操作,合规表述
