rule_id,rule_name,category_code,category_name,rule_description,semantic_rule,legal_conclusion,risk_level,basis_type,applicable_business_domain,applicable_content_legal_nature,prohibited_context,allowed_context,evidence_requirement,qualification_requirement,system_action,auto_rewrite_allowed,replacement_strategy,manual_review_required,confidence,review_status,reviewer,effective_status,version,created_at,updated_at,update_reason,updated_source_id,rule_dimension,review_level,notes
R-A01-001,绝对化及最高级用语(医美服务指向),A01,绝对化及最高级表达,使用国家级、最高级、最佳等绝对化用语指向医美服务或商品，且不满足《广告绝对化用语执法指南》第五、六条排除情形时构成违法。医美为重点领域，一般不适用不予处罚。,检测绝对化用语是否指向具体医美服务/商品。排除用于经营理念、目标追求、自我比较等非指向情形。,conditionally_prohibited,high,law;regulatory_guideline,医疗美容,medical_advertisement,广告内容中直接修饰医美服务/产品,"仅表经营理念(如""追求极致服务体验"")且不指向具体项目、仅同一品牌自我比较(如""本院第三代设备优于第二代"")、使用方法提示(如""请使用最佳舒适度档位"")",若主张不构成违法，需证明属于第五、六条排除情形,,request_evidence,false,补充证明材料;改为客观信息,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,expression_risk,L3,根据S0007第五、六条，并非所有绝对化用语均违法；医美属于重点领域，但排除情形仍适用
R-A01-002,唯一性及顶级序列词,A01,绝对化及最高级表达,使用第一/唯一/全网第一/行业第一/NO.1/TOP1/最权威/最顶尖/史上最强等明示或暗示唯一性或顶级排名的表达，当指向医美服务或商品时风险显著升高。,检测数字+排名类词汇组合(第一/NO.1/TOP1)以及最高级限定词(最权威/史上最强)，判断是否指向具体医美服务。,conditionally_prohibited,high,law,医疗美容,medical_advertisement,广告或商业推广中直接修饰医美项目、机构、医生,"获得官方排名且标明出处(如\""2025年度卫健委考核A级单位\""并附证明)、客观行业数据引用",官方排名证明或第三方权威机构出具的数据来源,,request_evidence,false,补充证明材料;改为客观信息,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,expression_risk,L3,同R-A01-001逻辑，换为唯一性/序列版本
R-A02-001,明示或暗示功效保证,A02,医疗功效承诺,广告法第十六条明确禁止医疗广告含有表示功效、安全性的断言或者保证。包括保证有效、一次见效、彻底治愈、百分百有效、无效退款等表达。监管指南进一步细化。,检测:1)保证/承诺+效果词组合;2)100%/百分百+有效;3)无效退款类商业承诺。判断是否指向医疗效果。,explicitly_prohibited,critical,law;regulatory_guideline,医疗美容,medical_advertisement,任何涉及医疗美容效果的广告、推广、朋友圈、社群内容,"客观说明诊疗方法适用范围，附个体差异提示(如\""效果因人而异\"");学术讨论不面向消费者",,,block,false,删除主张;增加个体差异说明,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,medical_efficacy_risk,L1,
R-A02-002,永久终身有效性断言,A02,医疗功效承诺,使用永久/终身/一辈子+有效/维持/不反弹等组合，属于功效保证的强化表达，违反广告法第十六条。,"检测\""永久\""/\""终身\""/\""一辈子\""+\""有效\""/\""维持\""/\""不反弹\""/\""保持\""等组合",explicitly_prohibited,critical,law,医疗美容,medical_advertisement,任何场景,无允许场景,,,block,false,删除主张,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,medical_efficacy_risk,L1,
R-A03-001,安全/无风险/无副作用承诺,A03,安全性和无风险承诺,使用零风险、绝对安全、无副作用、完全无痛等表达，属于安全性断言，广告法第十六条明确禁止。,检测:1)零/无/绝对+风险/副作用/疼痛/伤害;2)100%安全类表达。,explicitly_prohibited,critical,law;regulatory_guideline,医疗美容,medical_advertisement,任何涉及医疗美容项目的对外内容,"客观介绍术后护理措施(如\""按医嘱护理可降低感染风险\""，不承诺零风险)",,,block,false,删除主张;增加个体差异说明,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,medical_efficacy_risk,L1,
R-A03-002,无后遗症/不留疤/无依赖等具体安全性断言,A03,安全性和无风险承诺,针对具体术后结果的安全性断言(无后遗症/不留疤/不反弹/无依赖)，属于安全性承诺变体。,"检测\""无\""/\""不\""/\""不会\""+\""后遗症\""/\""留疤\""/\""反弹\""/\""依赖\""/\""上瘾\""等组合",explicitly_prohibited,critical,law,医疗美容,medical_advertisement,任何对外内容,无,,,block,false,删除主张,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,medical_efficacy_risk,L1,
R-A04-001,明确恢复/见效时间承诺,A04,效果时间和持续时间承诺,使用三天恢复、七天变美、一周见效等明确时间承诺，属于效果保证，违反广告法第十六条。,检测数字天数+恢复/见效/变美/消除/退红等效果词组合,explicitly_prohibited,critical,law;regulatory_guideline,医疗美容,medical_advertisement,任何涉及医疗效果的对外内容,在知情同意书中交代一般恢复周期(不承诺具体见效时间);非广告性质的术后注意事项提示,,,block,false,删除主张;改为客观信息,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,medical_efficacy_risk,L1,
R-A05-001,治疗前后对比图及案例对比,A05,效果对比和案例证明,使用治疗前后对比照片、案例对比等展示医疗美容效果，医疗广告管理办法第七条明确禁止。,"检测前后对比图/对比照片/效果对比等意图。图片识别需独立视觉模型，文字层面检测\""前后对比\""/\""治疗前后\""/\""术前术后\""等提示词。",explicitly_prohibited,critical,law;regulatory_guideline,医疗美容,medical_advertisement,任何对外发布的广告/推广内容,仅供院内咨询使用的非公开术前术后资料(不得外发);学术会议中脱敏处理的教学案例,,,block,false,删除主张,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,medical_efficacy_risk,L1,
R-A05-002a,患者见证(涉及疗效/恢复效果证明),A05,效果对比和案例证明,使用患者/顾客的术后体验、效果证明、亲测反馈等涉及医疗疗效或恢复效果的证明材料。医疗广告管理办法第七条禁止利用患者名义形象作证明。,"检测\""我做了XX项目+效果描述\""/\""亲测有效\""/\""做完鼻子一个月变这样\""/\""XX顾客反馈\""等句式。区分效果证明与普通服务评价。",explicitly_prohibited,critical,law;regulatory_guideline,医疗美容,medical_advertisement,发布涉及治疗结果、恢复效果、形态变化的患者反馈,"完全不涉及医疗效果的普通服务评价(如\""环境干净\""/\""护士态度好\""/\""等待时间短\"")，需经审核确认未暗示疗效",,,block,false,删除主张,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,medical_efficacy_risk,L1,拆分为A05-002a(疗效证明)和A05-002b(普通评价)
R-A05-002b,普通服务评价(不涉及疗效),A05,效果对比和案例证明,患者/顾客对服务环境、态度、流程等非医疗效果内容的评价，不涉及治疗结果、恢复效果或形态变化的证明。一般不构成违规，但需防止变相暗示疗效。,"检测评价内容是否仅限环境/态度/流程/等待时间等非疗效维度，无\""效果\""/\""变化\""/\""恢复\""等涉及医疗结果的表述",not_applicable,low,law,医疗美容,user_generated_content,评价内容中隐含或附带疗效暗示,客观真实、不涉及治疗结果的纯服务评价,,,pass,true,,false,中,已审核,,active,1.0,2026-07-27,2026-07-27,,,expression_risk,L4,需注意服务评价与疗效证明的边界，人工审核确认未变相暗示疗效
