source_id,source_type,source_name,issuing_authority,authority_level,document_number,publish_date,effective_date,expiry_date,status,article_clause,jurisdiction,applicable_scope,official_url,access_date,last_verified_at,page_last_updated,snapshot_filename,snapshot_hash,verification_status,supersedes_source_id,superseded_by_source_id,summary,notes
S0001,法律,中华人民共和国广告法(2021修正),全国人大常委会,法律,主席令81号,2021-04-29,2021-04-29,,现行有效,第9条第3项/第14条/第15条/第16条/第19条/第28条,中国大陆,中华人民共和国境内商业广告活动,https://flk.npc.gov.cn/detail2.html?ZmY4MDgxODE3YWJkNmJkODYwMDUyZA%3D%3D,2026-07-27,2026-07-27,,,,verified,,,广告活动基本法。第九条第三项禁止使用国家级、最高级、最佳等绝对化用语。第十六条禁止医疗广告含功效断言、安全保证、治愈率有效率。第十九条禁止以健康养生知识变相发布医疗广告。第二十八条定义虚假广告。,
S0002,部门规章,互联网广告管理办法,国家市场监督管理总局,部门规章,总局令第72号,2023-02-25,2023-05-01,,现行有效,第2条/第6条/第7条/第9条,中国大陆,利用互联网从事广告活动,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/gg/art/2023/art_2fd8e8e9e8f84e15afc6fb19b1b1e9e1.html,2026-07-27,2026-07-27,,,,verified,,,互联网广告合规基本规则。第六条禁止以介绍健康、养生知识等形式变相发布医疗广告。第七条要求互联网广告应当具有可识别性。第九条明确竞价排名、直播等均应显著标明广告。,
S0003,部门文件,医疗美容广告执法指南,国家市场监督管理总局,监管指南,公告2021年第37号,2021-11-01,,,现行有效,第二条/第五条,中国大陆,医疗美容广告监管执法,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/gg/art/2021/art_d1b46dbc5eb14fae91acc9a1a8b9f9e1.html,2026-07-27,2026-07-27,,,,verified,,,明确医疗美容广告定义与重点打击的九类情形：制造容貌焦虑、宣传未经审批诊疗项目、使用患者形象作证明、利用行业协会名义推荐、以种草/体验分享变相发布广告等。,原文未载明生效日期，发布即施行
S0004,部门规章,医疗广告管理办法,原国家工商行政管理总局、卫生部,部门规章,令第26号,2006-11-10,2007-01-01,,现行有效,第6条/第7条,中国大陆,医疗机构通过一定媒介或形式向社会公众宣传其服务,https://www.gov.cn/gongbao/content/2003/content_62198.htm,2026-07-27,2026-07-27,,,,verified,,,第六条要求医疗广告内容限于八项基本信息。第七条明确禁止含保证治愈/隐含保证治愈、宣传治愈率有效率、利用患者/医学权威名义形象、使用解放军武警名义等八类内容。,
S0005,部门规章,医疗美容服务管理办法(2016修正),原卫生部/国家卫生计生委,部门规章,令第19号,2002-05-01,2002-05-01,,现行有效,第2条/第16条/第17条/第19条/第20条,中国大陆,医疗美容机构执业管理,https://www.gov.cn/gongbao/content/2003/content_62198.htm,2026-07-27,2026-07-27,,,,verified,,,定义医疗美容为运用手术/药物/医疗器械及创伤性或侵入性医学技术方法对人的容貌进行修复与再塑。区分医疗美容与生活美容。规定执业医师须具备相关资质并经执业注册。,2016-01-19修正
S0006,部门规章,药品医疗器械保健食品特殊医学用途配方食品广告审查管理暂行办法,国家市场监督管理总局,部门规章,总局令第21号,2019-12-24,2020-03-01,,现行有效,第2条/第5条/第6条/第7条,中国大陆,三品一械广告审查发布,https://www.gov.cn/gongbao/content/2020/content_5488918.htm,2026-07-27,2026-07-27,,,,verified,,,第五条要求三品一械广告内容不得超出注册或备案范围。第六条禁止功效断言或保证、安全性断言。第七条要求标明禁忌和不良反应。,
S0007,部门文件,广告绝对化用语执法指南,国家市场监督管理总局,监管指南,公告2023年第6号,2023-02-25,,,现行有效,第五条/第六条,中国大陆,广告中绝对化用语执法,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/gg/art/2023/art_c1ecaa66e1c0449ca8ff2dcb6db0e3b5.html,2026-07-27,2026-07-27,,,,verified,,,明确第五条规定不构成《广告法》第九条第三项违法的排除情形(经营理念/目标追求/同一品牌自我比较/使用方法期限提示等)。第六条规定即使使用绝对化用语但不误导消费者或损害竞争的也不适用。答记者问明确医美等重点领域绝对化用语一般不适用不予处罚。,原文未载明生效日期，发布即施行
S0008,政策解读,广告绝对化用语执法指南答记者问,市场监管总局广告监管司,官方解释,,2023-03-20,,,现行有效,,中国大陆,解读,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/gg/art/2023/art_c1ecaa66e1c0449ca8ff2dcb6db0e3b5.html,2026-07-27,2026-07-27,,,,verified,,,医美等重点领域使用绝对化用语不属于轻微违法或社会危害性较小，一般不适用不予处罚。但第五六条排除情形仍适用，即并非所有绝对化用语均构成违法。,政策解读，非规范性文件
S0009,法律,反不正当竞争法(2025修订),全国人大常委会,法律,主席令,2025-06-27,2025-10-15,,现行有效,虚假宣传相关条款,中国大陆,市场竞争行为,https://www.gov.cn/yaowen/202506/content_7029689.html,2026-07-27,2026-07-27,,,,verified,,,禁止经营者对其商品性能/功能/质量/销售状况/用户评价等作虚假或引人误解的商业宣传。医美服务属于服务类经营者，虚假宣传同时触发广告法与反不正当竞争法竞合。,
S0010,行政法规,消费者权益保护法实施条例,国务院,行政法规,国务院令第778号,2024-03-15,2024-07-01,,现行有效,第9条/第15条/第22条/第23条,中国大陆,消费者权益保护,https://www.gov.cn/zhengce/content/202403/content_6940158.html,2026-07-27,2026-07-27,,,,verified,,,第九条要求经营者不得通过虚假或引人误解的方式诱导消费。第十五条规范商品服务的价格标示。第二十二条规范预付式消费。,
