semantic_rule_id,semantic_rule_name,risk_intent,detection_description,required_context,applicable_business_domain,applicable_platform,applicable_content_type,expected_risk_level,system_action,manual_review_notes,confidence,review_status,version,updated_at
SR0001,明示或暗示保证治疗效果,以直接或隐含方式承诺医疗美容必然有效,"检测:1)保证/承诺/肯定/绝对+效果类表述;2)条件句\""只要...就能...\""指向医疗效果;3)比较级效果承诺(比以前好得多/效果翻倍);4)时间+效果保证组合",医美项目或治疗相关描述,医疗美容,微信;小红书;抖音,标题;正文;口播;客服话术,critical,block,需结合S0011广告认定指南判断内容性质,高,已审核,1.0,2026-07-27
SR0002,明示或暗示无风险无副作用,使消费者产生治疗过程安全无风险或不存在副作用的认识,检测:1)零/无/绝对+风险/副作用/伤害/疼痛;2)安全+保证/无忧/放心;3)否定式安全承诺(不会出任何问题/绝对不会留疤);4)将医疗美容类比为日常保养消费(就像做面膜一样安全),涉及侵入性或有创医美项目的宣传,医疗美容,微信;小红书;抖音,标题;正文;口播,critical,block,生活美容与医疗美容的安全承诺需区分,高,已审核,1.0,2026-07-27
SR0003,制造容貌焦虑并诱导消费,通过贬损消费者自身容貌或夸大容貌的重要性，制造不安并诱导治疗消费,检测:1)贬义词修饰容貌(丑/老/塌/垮/土/残);2)条件句暗示容貌决定人生/事业/感情;3)标准式审美强加(女人就应该XX/真正的美是XX);4)同龄人比较制造焦虑(同龄人都做了/别人都在保养),面向消费者的医美推广或科普,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播,critical,block,需区分主观审美表达与恶意制造焦虑,高,已审核,1.0,2026-07-27
SR0004,对用户作出未经诊断的医疗判断,在未由执业医师面诊的情况下，对用户给出确定性诊断结论或治疗建议,检测:1)确诊式表述(你这是/你属于/你的问题是+疾病/症状名);2)不必见医生(不用面诊/看图片就知道/线上就能判断);3)治疗方案推荐(必须做/一定要做/建议你做+项目名);4)排除其他可能性(绝对不是XX问题/肯定是XX引起的),客服私信、社群问答、评论回复等非面诊场景,医疗美容,微信;小红书;抖音,客服话术;评论;私信;社群消息,critical,block,需区分一般健康建议(多喝水/注意防晒)与确定性诊断,高,已审核,1.0,2026-07-27
SR0005,规避平台审核的谐音拆字拼音或符号表达,通过谐音、拆字、拼音、混合符号等方式改写违规词汇以规避平台关键词审核,检测:1)谐音替换(瘦脸针→瘦脸真/瘦脸Z);2)拆字(整容→正攵容);3)拼音混用(玻尿酸→bo尿酸);4)符号分隔(热·玛·吉);5)emoji替代(注射💉);6)同音数字(1生1世);7)图片文字规避(文字处理为图片发布),任何医美推广内容,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播,high,mandatory_human_review,新型规避方式持续涌现，需定期更新检测规则,中,已审核,1.0,2026-07-27
SR0101,个案推导普遍效果,以单个或少量患者经历推导所有用户均可获得相同效果,识别某某做完很好/大家都满意/案例证明等个案后接普遍性结论，区分纯流程评价。,患者案例、体验分享、顾客反馈,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,critical,block,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0102,暗示项目适合所有人,否认年龄、肤质、病史和个体差异，暗示人人适用,识别任何人/所有人/不挑肤质/什么年龄都可以+项目适用性。,项目推广、客服咨询,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,critical,block,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0103,不治疗后果威胁,暗示不做医美会恶化、失去价值、感情或职业机会,识别不做/再不/否则+老化、没人喜欢、被淘汰、失去竞争力等后果。,推广、社群、客服,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,critical,block,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0104,资质事实引申为疗效或安全保证,将注册证、认证、进口、医院等级等事实推导为绝对安全或必然有效,识别已认证/获批/进口+所以安全/效果更好/一定可靠的因果结构。,项目、器械、机构介绍,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,high,mandatory_human_review,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0105,媒体报道或奖项包装成权威背书,把媒体曝光、节目报道、奖项或协会称号当作疗效、专业水平保证,识别CCTV/权威媒体/大奖/协会推荐+证明有效、值得信赖等。,品牌和医生宣传,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,high,request_evidence,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0106,数据缺少统计口径,引用成功率、满意率、复购率、人数或排名但未说明来源、范围、时间和方法,识别百分比、人数、排名与缺少出处/统计期/样本量的组合。,数据宣传、公众号、小红书,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,high,request_evidence,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0107,科普包装商业推广,标题或语气为健康科普，但正文出现机构、项目、优惠、预约或联系方式,综合判断科普目的、商业要素和交易路径，不只看是否出现“科普”。,公众号、小红书、短视频,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,high,mandatory_human_review,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0108,员工个人账号变相广告,员工或合作人员以个人口吻发布统一素材、项目价格、效果和预约信息,结合发布者关系、素材来源、频率、转化路径和利益关系判断。,朋友圈、社群、个人短视频,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,high,mandatory_human_review,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0109,商业合作伪装自发体验,接受免费服务、置换、佣金或其他利益却声称纯自费、自来水、没有广告,识别利益关系和否认商业合作的组合。,KOL、达人、素人分享,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,high,mandatory_human_review,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0110,生活美容包装成医疗治疗,无医疗资质主体使用治疗、修复疾病、诊断或医疗器械术语宣传生活美容服务,识别生活美容主体与医疗用语、侵入性技术、诊疗效果的冲突。,生活美容、平台推广,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,critical,block,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0111,医疗美容包装成普通保养,将侵入性医美描述为做面膜、日常护理、午休美容，弱化医疗属性和风险,识别医疗项目与生活化、安全化类比，判断是否降低消费者风险认知。,项目推广、客服,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,high,mandatory_human_review,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0112,特殊人群安全暗示,对孕妇、哺乳期、未成年人、过敏体质等群体直接保证安全或适用,识别特殊人群+可以做/放心/绝对安全等。,客服、社群、推广,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,critical,block,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0113,价格优惠条件弱化,突出低价、免费、折扣，但将附加费用、期限、名额、资格或退款限制放在不显著位置,比较主文案与小字、详情和实际条件，判断是否形成误导。,海报、朋友圈、团购页,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,high,request_evidence,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0114,虚假稀缺和倒计时,使用最后一天、仅剩名额等紧迫性表达，但活动持续重启或数量不可证明,识别多次发布、自动重置倒计时和无法核实库存/名额。,朋友圈、社群、直播,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,high,request_evidence,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0115,借贷成本和风险弱化,用每日成本、零首付、轻松变美等表达掩盖年化成本、服务费和逾期风险,识别融资宣传中只强调小额月供而不披露总成本和风险。,医美贷、分期推广,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,high,mandatory_human_review,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0116,强制套餐或升级诱导,暗示不升级、不同耗材或不购买套餐就无法获得效果或无法治疗,识别必须搭配/升级/加购与效果、治疗资格的绑定。,客服、到店转化、社群,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,critical,block,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0117,聊天截图匿名化不足,聊天或评价截图虽遮挡姓名但仍通过头像、昵称、病情、时间和地区识别个人,综合多种身份线索判断可识别性，不以打码作为唯一标准。,朋友圈、小红书、公众号,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,high,mandatory_human_review,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0118,患者素材超范围二次使用,诊疗或内部记录授权被扩张为广告、跨平台、长期或第三方使用,比较原授权目的、平台、期限与当前用途。,患者照片、视频、病例,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,critical,block,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0119,公开内容被机构再利用,用户自发公开的笔记、照片或评价被机构转载并加上品牌、项目、预约信息,判断是否从个人表达转化为机构广告、患者证明或商业推荐。,机构官号、宣传海报,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,high,mandatory_human_review,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0120,向外部AI上传患者敏感信息,将患者照片、病历、聊天或检查报告发送给第三方模型、修图或识别服务,识别AI工具使用、外部接收方、脱敏、同意和数据留存情况。,内容制作、客服、内部运营,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,critical,mandatory_human_review,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0121,不良反应被笼统解释为正常,客服对疼痛、感染、过敏、持续肿胀等情况一概称正常并阻止就医,识别异常症状+肯定没事/忍忍/不用看医生等。,售后客服、社群,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,critical,block,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0122,非医生身份模糊化,客服、咨询师或主播使用医生、专家、老师等称谓提供诊断或项目建议,结合自称身份、执业资质和实际话术判断误导。,客服、直播、私信,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,critical,block,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0123,跨页面拆分广告链路,科普正文、主页联系方式、置顶优惠、评论暗号和私信自动回复组合形成完整推广,按账号和活动整体分析，不限于单条文本。,小红书、抖音、微信,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,high,mandatory_human_review,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0124,平台规避表达和视觉规避,使用拼音、谐音、符号、emoji、图片文字、口播变音规避医美营销或禁词审核,识别规范词与变体间的语义相似，并结合平台与商业目的。,标题、正文、口播、图片文字,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,high,mandatory_human_review,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
SR0125,审批广告被二次剪辑改变含义,在审查通过素材基础上增加效果字幕、案例、优惠、标题或重新拼接,对比核准样件与发布版本，识别新增主张和语义变化。,付费广告、公众号、视频号,医疗美容,微信;小红书;抖音,标题;正文;图片文字;口播;客服话术;评论;私信,critical,block,需结合完整上下文、主体身份、平台产品线及证据判断。,中,待法务复核,1.2,2026-07-27
